country,region,province,confirmed_cases,deaths,recovered,fatality_rate
Peru,PER,Moquegua,64321,1718,0,0.0267
Peru,PER,Pasco,29033,1140,0,0.0393
Peru,PER,Piura,181347,13228,0,0.0729
Peru,PER,Puno,78232,4843,0,0.0619
Peru,PER,San Martin,70196,3239,0,0.0461
Peru,PER,Tacna,66032,2256,0,0.0342
Peru,PER,Tumbes,33866,1752,0,0.0517
Peru,PER,Ucayali,45826,3301,0,0.072
Peru,PER,Unknown,2784,195,0,0.07
Bolivia,BOL,,1194277,22365,0,0.0187
Poland,POL,,6444960,119010,0,0.0185
West Bank and Gaza,PSE,,703228,5708,0,0.0081
South Africa,ZAF,,4067067,102595,0,0.0252
Malta,MLT,,117610,828,0,0.007
Cyprus,CYP,,650685,1330,0,0.002
Turkey,TUR,,17042722,101492,0,0.006
Cuba,CUB,,1112643,8530,0,0.0077
Kenya,KEN,,342937,5688,0,0.0166
Ghana,GHA,,171229,1462,0,0.0085
Central African Republic,CAF,,15368,113,0,0.0074
Syria,SYR,,57467,3164,0,0.0551
Libya,LBY,,507187,6437,0,0.0127
Albania,ALB,,334457,3598,0,0.0108
